Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
17,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
4,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
1,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
2,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
1,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,C,Letter Grade,C-,Found Us Air Force
4,21395,,21395,,21395,Mary Holman,,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
12,26721,,26721,,26721,Mary Holman,,Aerospace Studies,1A,002,A,Letter Grade,A+,Found Us Air Force
2,26721,,26721,,26721,Mary Holman,,Aerospace Studies,1A,002,A,Letter Grade,A,Found Us Air Force
3,26721,,26721,,26721,Mary Holman,,Aerospace Studies,1A,002,A,Letter Grade,A-,Found Us Air Force
1,26721,,26721,,26721,Mary Holman,,Aerospace Studies,1A,002,B,Letter Grade,B,Found Us Air Force
3,26721,,26721,,26721,Mary Holman,,Aerospace Studies,1A,002,F,Letter Grade,F,Found Us Air Force
2,21394,,21394,,21394,Mary Holman,,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
8,21394,,21394,,21394,Mary Holman,,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
2,21394,,21394,,21394,Mary Holman,,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
1,21394,,21394,,21394,Mary Holman,,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
2,21394,,21394,,21394,Mary Holman,,Aerospace Studies,2A,001,C,Letter Grade,C,Evolut Of Air Power
